frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:00.138267000 CST","192.168.1.3","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:00.182814000 CST","192.168.1.4","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:00.189932000 CST","192.168.1.7","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:00.484227000 CST","192.168.1.2","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:02.118608000 CST","192.168.1.4","192.168.1.255","17",,,"698","698",,,,"100",,"1",,,,
"Dec 31, 1969 18:00:02.120651000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:02.120910000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:02.120926000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.121022000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.121534000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.121577000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.122089000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.122240000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.122753000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.122832000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.123344000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.123387000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.123899000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.123978000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.124491000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.124606000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.125118000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.125278000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.125790000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.125941000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.126454000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.126614000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.127126000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.127232000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.127600000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.127661000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.128030000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.128064000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.128432000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.128574000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.128942000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.128976000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.129345000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.129505000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.129873000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.129970000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.130338000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.130453000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.130822000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.130928000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.131296000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.131375000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.131743000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.131867000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.132152000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.132303000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.132587000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.132720000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133004000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133047000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133332000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133456000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133740000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133792000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134076000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134164000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134449000 CST",,,,,,,,,,,"14",,,,,,
